QtrNum,Force Name,Region,Financial Year,Financial Quarter,Population,Knife enabled,Violence with Injury,Homicide and serious injury,Knife Crime,RateKE,RateVWI,RateKC,ZScoreKE,ZScoreVWI,ZScoreKC
7,Avon and Somerset,South West,2009/10,Q3,1680.715,110,134,1,245,0.65448336,0.797279729,1.457712938,0.7483578,0.628403782,0.720710308
38,Staffordshire,West Midlands,2017/18,Q2,1120.348,51,106,6,163,0.455215701,0.946134594,1.454905083,0.227188132,1.092874174,0.716445197
28,West Midlands,West Midlands,2014/15,Q4,2864.925,214,193,9,416,0.746965453,0.673665105,1.452044992,0.990237802,0.242690266,0.71210074
37,Cambridgeshire,East,2017/18,Q1,849.035,40,79,4,123,0.471123099,0.93046812,1.448703528,0.268792742,1.043990226,0.70702508
31,Cambridgeshire,East,2015/16,Q3,849.035,56,66,1,123,0.659572338,0.777353113,1.448703528,0.761667642,0.566226953,0.70702508
43,Bedfordshire,East,2018/19,Q3,664.479,30,64,2,96,0.451481537,0.963160612,1.444740917,0.217421705,1.146000292,0.701005903
12,Nottinghamshire,East Midlands,2010/11,Q4,1135.992,99,64,1,164,0.87148501,0.563384249,1.443672139,1.315909398,-0.101418018,0.699382436
30,Merseyside,North West,2015/16,Q2,1406.447,81,118,4,203,0.57591932,0.838993577,1.443353358,0.542879427,0.758563098,0.69889821
44,Sussex,South East,2018/19,Q4,1680.791,88,152,2,242,0.523563013,0.904336113,1.439798285,0.405945418,0.96245078,0.693498081
27,West Yorkshire,Yorkshire,2014/15,Q3,2299.673,147,177,7,331,0.639221315,0.769674645,1.439335071,0.708441064,0.542267905,0.692794462
35,Greater Manchester,North West,2016/17,Q3,2782.141,193,192,15,400,0.693710348,0.690115993,1.437741653,0.850953055,0.294021815,0.690374072
3,Cambridgeshire,East,2008/09,Q3,849.035,47,72,3,122,0.553569641,0.848021577,1.436925451,0.484425511,0.786733079,0.689134266
10,Bedfordshire,East,2010/11,Q2,664.479,38,54,3,95,0.571876613,0.812666766,1.429691533,0.532306029,0.676415804,0.678145998
36,Staffordshire,West Midlands,2016/17,Q4,1120.348,50,109,1,160,0.446289903,0.972911988,1.428127689,0.203843375,1.176427418,0.67577053
5,Avon and Somerset,South West,2009/10,Q1,1680.715,106,130,3,239,0.630683965,0.773480334,1.422013845,0.686112262,0.55414276,0.666483646
39,Hertfordshire,East,2017/18,Q3,1176.72,84,82,1,167,0.713848664,0.696852267,1.41919913,0.903623316,0.315040945,0.662208114
35,Northamptonshire,East Midlands,2016/17,Q3,733.128,59,45,0,104,0.80477079,0.61380823,1.41857902,1.141423342,0.05591944,0.661266172
20,Greater Manchester,North West,2012/13,Q4,2782.141,197,193,4,394,0.708087764,0.693710348,1.416175528,0.888556113,0.305237244,0.657615285
8,Bedfordshire,East,2009/10,Q4,664.479,45,49,0,94,0.677222305,0.737419843,1.414642148,0.807829812,0.441623559,0.655286092
3,Lancashire,North West,2008/09,Q3,1485.042,67,142,1,210,0.451165691,0.956201912,1.414101419,0.216595634,1.12428713,0.654464729
